Nodo,Volumen,Uso cpu (≈ %),Uso memoria (≈%),Uso cpu Docker (≈%),Uso memoria Docker (≈%)
Be1,50K,20,1.9375,25.0,50.0
Be1,500K,25,4.25,37.5,58.125
Be1,1M,35,6.25,75.0,69.875
Be1,1.5M,40,9.0,62.5,75.0
Be1,2M,40,8.75,75.0,81.25
Be1,5M,70,21.875,100,81.25
Be1,10M,75,34.375,100,83.75
Be2,50K,20,1.9375,25.0,50.0
Be2,500K,25,4.25,37.5,58.125
Be2,1M,27,6.25,43.75,68.75
Be2,1.5M,40,9.75,50.0,75.0
Be2,2M,40,8.75,56.25,81.25
Be2,5M,70,21.875,75.0,81.25
Be2,10M,75,15.937,100,83.75
Be3,50K,20,1.9375,25.0,50.0
Be3,500K,25,4.25,37.5,58.125
Be3,1M,27,6.25,43.75,68.75
Be3,1.5M,40,9.375,50.0,75.0
Be3,2M,40,8.75,56.25,81.25
Be3,5M,70,21.875,75.0,81.25
Be3,10M,75,23.4375,100,83.75
